id,title,category,age,summary,link,date,Rating,
1,나비의 꿈,어린이 동화,전연령,(알애번성) 알-애벌래-번데기-성충(나비) 완전변태에서 꿈을 키우고 배운다,https://g.co/gemini/share/ad9fbb04a3a8,2025-08-10,1,
2,꿀벌들의 소중한 이야기,어린이 동화,전연령,"레이 아트 스타일로 친절한 일벌이 등장하여 벌들이 지구에 얼마나 도움이 
되는지, 그리고 서로 돕고 역할을 나누는 것이 얼마나 중요한지를 알려주는 이야기를 만들었습니다. 이 이야기는 아이들이 벌에 대한 두려움을 떨쳐내는 데 도움이 될 것입니다.",https://g.co/gemini/share/ba58e847739f,2025-08-12,1,
3,담쟁이 새싹이의 꿈,어린이 동화,전연령,아이비리그에 대한 열망과 도전을 담쟁이 덩굴에 비유하여 끈기와 지혜의 중요성을 강조하는 이야기,https://g.co/gemini/share/c57329f198df,2025-08-12,1,
4,밥의 힘,어린이 동화,전연령,할머니가 손주에게 우리나라 쌀의 유래를 들려주며 밥이 보약이고 힘이라는 것을 알려주는 스토리북,https://g.co/gemini/share/f05a47cd6d6a,2025-08-17,0,
5,비밀 연애의 정석,어린이 동화,전종운 작품,전학 온 미모의 여학생에게 사랑에 빠진 주인공이 아이돌 연습생인 여주와 알콩달콩 연애를 하는 내용입니다.,https://gemini.google.com/share/feda0462be3a,2025-01-01,0,
6,숲속 친구들의 특별한 잔치,어린이 동화,,"어린이들이 동물들의 특징을 재미있게 이해하고, 이를 통해 동물 비유를 
쉽게 파악할 수 있도록 돕는 스토리북",https://g.co/gemini/share/f75f00ba1278,2025-01-01,0,
7,식물처럼 특별한 사람들,어린이 동화,,다양한 사람 유형을 식물에 비유하여 설명하는 이야기책,https://g.co/gemini/share/b3400949d1b5,2025-01-01,0,
8,두리의 위대한 춤,어린이 동화,4세~8세,"공룡들이 짝을 지어 스텝 댄싱을 하고 물고기를 잡는 모험에 대한 
이야기를 만들었습니다. 이 이야기는 4세 독자를 대상으로 합니다.",https://g.co/gemini/share/93c54c77c770,2025-01-01,0,
9,간지나는 거시기,어린이 동화,전종운 작품,관심과 멋을 폭발시키는 간단한 방법,https://g.co/gemini/share/d180a13a449d,2025-01-01,0,
10,지금 이순간의 선물,어린이 동화,,"8세에서 12세 독자를 위해 지민이가 바쁜 일상 속에서 '마인드풀니스'를 
배우고 실천하며 평화와 행복을 찾아가는 이야기를 담은 동화책",https://g.co/gemini/share/bea38de3e3f7,2025-01-01,0,
